name,popularity
script-security,276424
structs,275922
scm-api,275604
workflow-step-api,275578
mailer,275517
bouncycastle-api,275180
credentials,275172
display-url-api,275160
ssh-credentials,274670
workflow-api,273745
workflow-scm-step,273157
apache-httpcomponents-client-4-api,272942
workflow-support,272428
jackson2-api,271487
plain-credentials,270915
junit,270584
git-client,269698
credentials-binding,269283
matrix-project,268158
git,267611
cloudbees-folder,267603
token-macro,267029
workflow-job,266978
durable-task,266015
workflow-cps,265079
workflow-durable-task-step,264144
antisamy-markup-formatter,263688
branch-api,263562
trilead-api,263455
workflow-basic-steps,262297
pipeline-stage-step,262033
pipeline-input-step,261404
workflow-multibranch,261245
pipeline-stage-tags-metadata,260276
pipeline-model-api,260163
pipeline-build-step,259769
snakeyaml-api,259085
pipeline-model-extensions,258456
pipeline-milestone-step,258380
pipeline-model-definition,256579
plugin-util-api,254537
jquery3-api,254250
pipeline-graph-analysis,254041
font-awesome-api,253520
matrix-auth,253282
echarts-api,252632
caffeine-api,252390
checks-api,251213
workflow-aggregator,249653
jaxb,245755
variant,245425
ssh-slaves,244425
javax-activation-api,244342
bootstrap5-api,244333
resource-disposer,242069
github-api,240865
timestamper,239826
ws-cleanup,238783
okhttp-api,238633
github,237149
ldap,236783
pam-auth,233677
github-branch-source,232348
email-ext,231744
mina-sshd-api-common,230545
jakarta-activation-api,230231
jakarta-mail-api,230184
ant,229258
mina-sshd-api-core,228814
build-timeout,227056
commons-lang3-api,226490
ionicons-api,225497
instance-identity,223684
commons-text-api,222314
pipeline-groovy-lib,221614
jjwt-api,218491
gradle,217525
pipeline-github-lib,208760
javax-mail-api,201846
gson-api,191053
command-launcher,189984
jdk-tool,189846
sshd,187375
pipeline-rest-api,186194
json-path-api,185343
jsch,185288
json-api,184534
pipeline-stage-view,181739
joda-time-api,179981
asm-api,178164
eddsa-api,166474
authentication-tokens,148559
metrics,136557
javadoc,128664
maven-plugin,117373
docker-commons,116128
git-server,110281
theme-manager,108706
config-file-provider,106774
dark-theme,104532
docker-workflow,102085
htmlpublisher,93918
lockable-resources,92201
pipeline-graph-view,92088
role-strategy,89357
handy-uri-templates-2-api,82241
workflow-cps-global-lib,79063
mapdb-api,78845
popper2-api,78242
subversion,72810
jersey2-api,72276
favorite,71993
pubsub-light,71828
external-monitor-job,71329
cloudbees-bitbucket-branch-source,69935
blueocean-commons,69570
jenkins-design-language,69308
blueocean-rest,69203
jquery,69122
parameterized-trigger,67139
data-tables-api,67001
blueocean-core-js,66949
publish-over,66680
blueocean-web,66659
blueocean-pipeline-scm-api,66237
blueocean-jwt,66216
nodejs,66096
blueocean-rest-impl,65266
sse-gateway,64611
blueocean-pipeline-api-impl,64554
popper-api,63669
ssh-agent,63449
localization-support,62747
apache-httpcomponents-client-5-api,62569
blueocean-git-pipeline,61884
pipeline-utility-steps,61823
localization-zh-cn,61752
blueocean-dashboard,61606
publish-over-ssh,61041
blueocean-github-pipeline,60910
bootstrap4-api,60116
run-condition,60063
blueocean-i18n,59884
blueocean-display-url,59794
blueocean-personalization,59647
blueocean-config,59538
blueocean-pipeline-editor,59251
blueocean-bitbucket-pipeline,59138
blueocean-events,58700
git-parameter,58419
blueocean,56676
jquery-detached,55600
conditional-buildstep,55000
envinject-api,54592
gitlab-plugin,53010
commons-compress-api,52071
envinject,51973
prism-api,51080
sonar,50476
docker-java-api,48488
ansicolor,48180
rebuild,45529
docker-plugin,43473
copyartifact,43335
mercurial,42466
uno-choice,41212
kubernetes-client-api,40862
configuration-as-code,40295
kubernetes-credentials,40115
cloud-stats,39809
slack,37856
job-dsl,37800
kubernetes,37225
aws-java-sdk-minimal,36574
build-user-vars-plugin,35937
aws-credentials,35730
pipeline-model-declarative-agent,35692
generic-webhook-trigger,35436
blueocean-autofavorite,35206
jira,35202
aws-java-sdk-ec2,35134
jobConfigHistory,34860
ssh,32761
forensics-api,32167
build-name-setter,31050
extended-choice-parameter,30958
active-directory,30773
dashboard-view,30557
http_request,30542
oss-symbols-api,29457
thinBackup,29066
pipeline-maven,26768
groovy,26505
locale,25641
aws-java-sdk-ecr,25102
aws-java-sdk,23789
ssh-steps,23703
aws-java-sdk-iam,23517
aws-java-sdk-cloudformation,23478
aws-java-sdk-elasticbeanstalk,23467
simple-theme-plugin,23295
blueocean-jira,22896
jnr-posix-api,22611
gitlab-api,22381
analysis-model-api,22081
aws-java-sdk-sqs,22017
authorize-project,21986
aws-java-sdk-sns,21986
bitbucket,21452
warnings-ng,21053
aws-java-sdk-ecs,20945
emailext-template,20620
mask-passwords,20532
aws-java-sdk-ssm,20370
aws-java-sdk-codebuild,20369
aws-java-sdk-logs,20354
artifactory,20263
badge,19820
extended-read-permission,19711
throttle-concurrents,19634
monitoring,19189
parameterized-scheduler,19116
pipeline-maven-api,19074
aws-java-sdk-efs,19022
ansible,18983
powershell,18819
commons-httpclient3-api,18508
Office-365-Connector,18437
code-coverage-api,18356
jacoco,18023
msbuild,17987
prometheus,17945
built-on-column,17900
nodelabelparameter,17663
saml,17553
groovy-postbuild,17533
build-pipeline-plugin,17514
multiple-scms,17228
postbuild-task,16909
h2-api,16802
aws-java-sdk-secretsmanager,16538
cobertura,16471
aws-java-sdk-kinesis,16433
coverage,16315
allure-jenkins-plugin,16253
aws-java-sdk-elasticloadbalancingv2,16023
aws-java-sdk-lambda,16023
aws-java-sdk-cloudfront,16021
aws-java-sdk-organizations,16018
aws-java-sdk-codedeploy,16012
